,log2FoldChange,pvalue,padj
ENSMUSG00000023072,0.15158636878214787,0.29784873979713805,0.4595270004724707
ENSMUSG00000023073,0.8235393462482166,1.1426787840638296e-39,4.0370292327600607e-38
ENSMUSG00000023074,-0.5585501150136897,6.259498152885913e-06,4.386763140372474e-05
ENSMUSG00000023075,-0.11162392186986148,0.08504773297765142,0.18216591973390125
ENSMUSG00000023078,-1.81251278692067,1.5065390604099234e-19,2.8822127080134833e-18
ENSMUSG00000023079,-0.31508695206508414,0.00047379770496453025,0.002293810839431603
ENSMUSG00000023087,0.5067562355814559,4.4316139741109396e-29,1.2196022842477504e-27
ENSMUSG00000023088,0.2810982363557015,0.19671106719880502,0.33918049659173
ENSMUSG00000023089,0.04946510999541623,0.44837041026309166,0.6092581204059032
ENSMUSG00000023092,0.656339534475285,2.28062411657261e-06,1.7328029397521913e-05
ENSMUSG00000023094,0.08754913899453512,0.4824921786549097,0.6400753347871757
ENSMUSG00000023104,0.18311132016226042,0.03996666167196128,0.10092333816706088
ENSMUSG00000023106,0.17299782228183727,0.015663957368068783,0.04716907310427422
ENSMUSG00000023110,0.10899228385360692,0.22791000369818015,0.38023584904864965
ENSMUSG00000023118,0.010703305787057487,0.8095157756241498,0.8869572109758888
ENSMUSG00000023122,0.2960918308793272,0.13861221082832623,0.26329157516960244
ENSMUSG00000023132,2.50413511874968,0.0015636506591114382,0.006624918366087127
ENSMUSG00000023143,0.0470703780724041,0.6580820096362021,0.7836581678961299
ENSMUSG00000023147,0.27446762803994834,0.12358593042573164,0.24124961181475166
ENSMUSG00000023150,0.04302783996869321,0.13190862956138547,0.2536298695764235
ENSMUSG00000023156,0.07691359487595631,0.42370549280581415,0.5861539798069635
ENSMUSG00000023169,0.1415149587796935,0.5179523425579233,0.6686734858058181
ENSMUSG00000023170,0.09373836098857131,0.3763493486617694,0.5412392836150548
ENSMUSG00000023175,-0.044126398859193075,0.08857485710309794,0.18750955968939106
ENSMUSG00000023176,0.1400980063655238,1.898756988895965e-12,2.5580199957735436e-11
ENSMUSG00000023186,-0.06035986430520379,0.30264568476714215,0.46464905574321236
